sourate,versets,lettres,jummal
1,7,143,10147
2,286,26268,1826314
3,200,15004,1057671
4,176,16351,1118210
5,120,12225,825504
6,165,12745,934677
7,206,14454,1055604
8,75,5406,376684
9,129,11115,738190
10,109,7608,536862
11,123,7836,538577
12,111,7326,498101
13,43,3564,239874
14,52,3558,264365
15,99,2901,180666
16,128,7851,558534
17,111,6662,474058
18,110,6571,496441
19,98,3954,281964
20,135,5418,388528
21,112,5113,352195
22,78,5333,365594
23,118,4502,344202
24,64,5773,414854
25,77,3897,293162
26,227,5649,392910
27,93,4809,335213
28,88,5949,400181
29,69,4336,275011
30,60,3491,269193
31,34,2190,156256
32,30,1582,111239
33,73,5807,378431
34,54,3613,255083
35,45,3257,245449
36,83,3087,218061
37,182,3918,260617
38,88,3084,228653
39,75,4888,365883
40,85,5127,361491
41,54,3384,237438
42,53,3541,245300
43,89,3628,254791
44,59,1493,96741
45,37,2104,154255
46,35,2686,192799
47,38,2442,181060
48,29,2529,182749
49,18,1552,102196
50,45,1526,107722
51,60,1565,117378
52,49,1343,94269
53,62,1452,107464
54,55,1488,119221
55,78,1666,128959
56,96,1775,125054
57,29,2564,189855
58,22,2065,132182
59,24,1989,130168
60,13,1579,99705
61,14,985,62594
62,11,787,60422
63,11,820,54125
64,18,1110,79422
65,12,1222,90274
66,12,1124,86443
67,30,1366,103064
68,52,1308,91650
69,52,1152,84902
70,44,990,71386
71,28,984,76114
72,28,1128,67378
73,20,873,67989
74,56,1054,87420
75,40,695,49854
76,31,1106,74318
77,50,860,72616
78,40,815,53884
79,46,804,60608
80,42,571,47817
81,29,454,41107
82,19,352,27068
83,36,769,57527
84,25,464,33759
85,22,488,33650
86,17,273,17383
87,19,315,26294
88,26,401,31906
89,30,603,48796
90,20,361,21111
91,15,272,19773
92,21,333,29624
93,11,184,13318
94,8,121,13202
95,8,181,11018
96,19,307,21350
97,5,134,7511
98,8,423,28891
99,8,177,17395
100,11,188,14157
101,11,179,10671
102,8,142,11163
103,3,92,5528
104,9,153,6744
105,5,116,6257
106,4,96,6455
107,7,133,9994
108,3,62,3550
109,6,118,4618
110,3,99,6910
111,5,100,6217
112,4,66,1788
113,5,92,9463
114,6,99,5687
